,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,prediction
0,0,67,male,2,own,,little,1169,6,radio/TV,good,1
1,1,22,female,2,own,little,moderate,5951,48,radio/TV,bad,0
2,2,49,male,1,own,little,,2096,12,education,good,1
3,3,45,male,2,free,little,little,7882,42,furniture/equipment,good,0
4,4,53,male,2,free,little,little,4870,24,car,bad,1
5,5,35,male,1,free,,,9055,36,education,good,1
6,6,53,male,2,own,quite rich,,2835,24,furniture/equipment,good,1
7,7,35,male,3,rent,little,moderate,6948,36,car,good,0
8,8,61,male,1,own,rich,,3059,12,radio/TV,good,1
9,9,28,male,3,own,little,moderate,5234,30,car,bad,0
10,10,25,female,2,rent,little,moderate,1295,12,car,bad,0
11,11,24,female,2,rent,little,little,4308,48,business,bad,0
12,12,22,female,2,own,little,moderate,1567,12,radio/TV,good,1
13,13,60,male,1,own,little,little,1199,24,car,bad,1
14,14,28,female,2,rent,little,little,1403,15,car,good,0
15,15,32,female,1,own,moderate,little,1282,24,radio/TV,bad,1
16,16,53,male,2,own,,,2424,24,radio/TV,good,1
17,17,25,male,2,own,,little,8072,30,business,good,1
18,18,44,female,3,free,little,moderate,12579,24,car,bad,0
19,19,31,male,2,own,quite rich,,3430,24,radio/TV,good,1
20,20,48,male,2,own,little,,2134,9,car,good,1
21,21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good,1
22,22,48,male,1,rent,little,little,2241,10,car,good,1
23,23,44,male,2,own,moderate,moderate,1804,12,car,good,1
24,24,26,male,2,own,,,2069,10,furniture/equipment,good,1
25,25,36,male,1,own,little,little,1374,6,furniture/equipment,good,1
26,26,39,male,1,own,little,,426,6,radio/TV,good,1
27,27,42,female,2,rent,rich,rich,409,12,radio/TV,good,1
28,28,34,male,2,own,little,moderate,2415,7,radio/TV,good,1
29,29,63,male,2,own,little,little,6836,60,business,bad,0
30,30,36,male,2,own,rich,moderate,1913,18,business,good,1
31,31,27,male,2,own,little,little,4020,24,furniture/equipment,good,1
32,32,30,male,2,own,moderate,moderate,5866,18,car,good,1
33,33,57,male,1,rent,,,1264,12,business,good,1
34,34,33,female,3,own,little,rich,1474,12,furniture/equipment,good,1
35,35,25,male,1,own,little,moderate,4746,45,radio/TV,bad,0
36,36,31,male,2,free,little,,6110,48,education,good,0
37,37,37,male,2,own,little,rich,2100,18,radio/TV,bad,1
38,38,37,male,2,own,little,rich,1225,10,domestic appliances,good,1
39,39,24,male,2,own,little,moderate,458,9,radio/TV,good,1
40,40,30,male,3,own,quite rich,,2333,30,radio/TV,good,1
41,41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good,1
42,42,44,male,1,own,little,moderate,6204,18,repairs,good,1
43,43,24,male,2,rent,moderate,little,6187,30,car,good,0
44,44,58,female,1,free,little,little,6143,48,car,bad,0
45,45,35,female,3,own,little,,1393,11,car,good,1
46,46,39,male,2,own,quite rich,,2299,36,radio/TV,good,1
47,47,23,female,0,rent,quite rich,little,1352,6,car,good,0
48,48,39,male,1,own,little,,7228,11,car,good,1
49,49,28,female,2,own,moderate,,2073,12,radio/TV,good,1
50,50,29,male,1,own,,moderate,2333,24,furniture/equipment,good,1
51,51,30,male,3,own,little,moderate,5965,27,car,good,1
52,52,25,male,2,own,little,,1262,12,radio/TV,good,1
53,53,31,male,2,own,,,3378,18,car,good,1
54,54,57,male,2,free,little,moderate,2225,36,car,bad,1
55,55,26,male,1,own,,,783,6,car,good,1
56,56,52,male,3,own,,moderate,6468,12,radio/TV,bad,1
57,57,31,female,2,own,little,,9566,36,radio/TV,good,1
58,58,23,female,3,own,little,rich,1961,18,car,good,1
59,59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad,0
60,60,27,male,2,own,little,moderate,1391,9,business,good,1
61,61,50,male,2,own,,moderate,1537,15,radio/TV,good,1
62,62,61,male,3,free,little,moderate,1953,36,business,bad,1
63,63,25,male,2,own,little,moderate,14421,48,business,bad,0
64,64,26,female,2,own,little,,3181,24,radio/TV,good,1
65,65,48,male,2,own,,,5190,27,repairs,good,1
66,66,29,female,2,own,little,,2171,12,radio/TV,good,1
67,67,22,male,2,own,rich,moderate,1007,12,car,good,1
68,68,37,male,2,free,little,,1819,36,education,bad,1
69,69,25,female,2,own,,,2394,36,radio/TV,good,1
70,70,30,female,2,own,little,,8133,36,car,good,1
71,71,46,male,1,rent,,,730,7,radio/TV,good,1
72,72,51,male,3,free,little,little,1164,8,vacation/others,good,1
73,73,41,female,1,own,little,moderate,5954,42,business,good,0
74,74,40,male,3,own,,little,1977,36,education,bad,1
75,75,66,male,3,free,little,little,1526,12,car,good,1
76,76,34,male,2,own,little,little,3965,42,radio/TV,bad,0
77,77,51,male,2,own,little,moderate,4771,11,radio/TV,good,1
78,78,39,male,1,own,,,9436,54,car,good,1
79,79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good,1
80,80,44,female,2,own,,,5943,24,radio/TV,bad,1
81,81,47,male,2,own,quite rich,,1213,15,radio/TV,good,1
82,82,24,female,1,rent,moderate,,1568,18,business,good,1
83,83,58,female,1,own,little,little,1755,24,vacation/others,good,0
84,84,52,male,1,own,little,little,2315,10,radio/TV,good,1
85,85,29,female,3,own,little,,1412,12,business,good,1
86,86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good,1
87,87,47,male,2,free,moderate,moderate,12612,36,education,bad,0
88,88,30,male,3,own,moderate,little,2249,18,car,good,1
89,89,28,male,2,own,little,little,1108,12,repairs,bad,0
90,90,56,male,2,own,little,,618,12,radio/TV,good,1
91,91,54,male,2,own,little,little,1409,12,car,good,1
92,92,33,female,1,own,,,797,12,radio/TV,bad,1
93,93,20,male,2,rent,,rich,3617,24,furniture/equipment,good,1
94,94,54,male,2,own,rich,moderate,1318,12,car,good,1
95,95,58,male,2,rent,little,moderate,15945,54,business,bad,0
96,96,61,female,2,own,,,2012,12,education,good,1
97,97,34,male,2,own,moderate,moderate,2622,18,business,good,1
98,98,36,male,2,own,little,moderate,2337,36,radio/TV,good,1
99,99,36,male,3,rent,,moderate,7057,20,car,good,1
100,100,41,male,1,rent,moderate,,1469,24,car,good,1
101,101,24,male,2,rent,little,moderate,2323,36,radio/TV,good,0
102,102,24,female,2,own,little,,932,6,radio/TV,good,1
103,103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good,1
104,104,26,male,2,rent,,,2445,12,car,good,1
105,105,39,male,3,own,little,moderate,11938,24,vacation/others,bad,1
106,106,39,male,3,own,little,,6458,18,car,bad,1
107,107,32,male,2,own,little,moderate,6078,12,car,good,1
108,108,30,female,2,own,,little,7721,24,furniture/equipment,good,1
109,109,35,male,2,own,quite rich,moderate,1410,14,business,good,1
110,110,31,male,2,own,moderate,moderate,1449,6,business,good,1
111,111,23,female,2,rent,little,rich,392,15,education,good,0
112,112,28,male,1,rent,little,moderate,6260,18,car,good,0
113,113,25,female,2,own,little,,7855,36,car,bad,1
114,114,35,male,2,own,quite rich,little,1680,12,radio/TV,good,1
115,115,47,male,2,own,,,3578,48,radio/TV,good,1
116,116,30,female,3,own,,little,7174,42,radio/TV,bad,1
117,117,27,female,2,rent,,little,2132,10,furniture/equipment,good,1
118,118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad,0
119,119,36,male,3,own,quite rich,moderate,2366,12,car,good,1
120,120,25,female,2,own,little,little,1835,21,radio/TV,bad,1
121,121,41,female,3,rent,little,,3868,24,car,good,1
122,122,24,male,1,rent,little,,1768,12,furniture/equipment,good,1
123,123,63,male,2,free,little,rich,781,10,car,good,1
124,124,27,female,2,rent,,moderate,1924,18,furniture/equipment,bad,1
125,125,30,male,2,own,little,little,2121,12,car,good,1
126,126,40,male,1,own,little,little,701,12,radio/TV,good,1
127,127,30,male,2,own,little,moderate,639,12,repairs,bad,1
128,128,34,male,3,own,little,moderate,1860,12,car,good,1
129,129,29,female,2,own,little,little,3499,12,car,bad,0
130,130,24,female,2,own,,moderate,8487,48,car,good,0
131,131,29,male,2,own,little,little,6887,36,education,bad,0
132,132,27,male,1,own,little,,2708,15,furniture/equipment,good,1
